combined_shot_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_range,opponent,shot_id
Jump Shot,16,57,9,3,0,2000-01,10,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,77
Jump Shot,-84,110,7,3,0,2000-01,24,13,0.0,2PT Field Goal,Left Side(L),8-16 ft.,HOU,78
Jump Shot,-71,42,0,3,0,2000-01,1,8,0.0,2PT Field Goal,Left Side(L),8-16 ft.,HOU,79
Jump Shot,30,133,5,4,0,2000-01,1,13,1.0,2PT Field Goal,Center(C),8-16 ft.,HOU,81
Jump Shot,1,156,0,4,0,2000-01,46,15,0.0,2PT Field Goal,Center(C),8-16 ft.,HOU,82
Jump Shot,132,211,11,1,0,2000-01,41,24,0.0,3PT Field Goal,Right Side Center(RC),24+ ft.,SAS,83
Dunk,-8,4,10,1,0,2000-01,59,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAS,84
Jump Shot,132,127,6,1,0,2000-01,36,18,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAS,87
Jump Shot,-29,188,5,1,0,2000-01,54,19,1.0,2PT Field Goal,Center(C),16-24 ft.,SAS,88
Jump Shot,140,76,2,1,0,2000-01,24,15,1.0,2PT Field Goal,Right Side(R),8-16 ft.,SAS,89
Jump Shot,140,0,1,1,0,2000-01,48,14,1.0,2PT Field Goal,Right Side(R),8-16 ft.,SAS,90
Jump Shot,-1,156,1,1,0,2000-01,25,15,1.0,2PT Field Goal,Center(C),8-16 ft.,SAS,91
Jump Shot,-151,4,0,1,0,2000-01,47,15,1.0,2PT Field Goal,Left Side(L),8-16 ft.,SAS,92
Jump Shot,110,76,10,2,0,2000-01,57,13,0.0,2PT Field Goal,Right Side(R),8-16 ft.,SAS,93
Jump Shot,132,87,9,2,0,2000-01,37,15,,2PT Field Goal,Right Side(R),8-16 ft.,SAS,94
Jump Shot,-58,251,3,2,0,2000-01,50,25,1.0,3PT Field Goal,Center(C),24+ ft.,SAS,96
Jump Shot,-94,160,3,2,0,2000-01,15,18,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,SAS,97
Jump Shot,-193,150,0,2,0,2000-01,53,24,0.0,3PT Field Goal,Left Side Center(LC),24+ ft.,SAS,98
Jump Shot,140,0,0,2,0,2000-01,48,14,1.0,2PT Field Goal,Right Side(R),8-16 ft.,SAS,99
Jump Shot,39,9,11,3,0,2000-01,26,4,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAS,100
Jump Shot,24,150,9,3,0,2000-01,20,15,0.0,2PT Field Goal,Center(C),8-16 ft.,SAS,101
Dunk,-1,0,7,3,0,2000-01,53,0,,2PT Field Goal,Center(C),Less Than 8 ft.,SAS,102
Jump Shot,119,133,6,3,0,2000-01,40,17,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAS,103
Jump Shot,119,19,3,3,0,2000-01,0,12,0.0,2PT Field Goal,Right Side(R),8-16 ft.,SAS,105
Jump Shot,-193,42,0,3,0,2000-01,48,19,0.0,2PT Field Goal,Left Side(L),16-24 ft.,SAS,106
Jump Shot,-166,55,0,3,0,2000-01,21,17,0.0,2PT Field Goal,Left Side(L),16-24 ft.,SAS,107
Jump Shot,24,116,10,4,0,2000-01,39,11,0.0,2PT Field Goal,Center(C),8-16 ft.,SAS,108
Jump Shot,-65,156,7,4,0,2000-01,8,16,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,SAS,109
Jump Shot,-166,26,6,4,0,2000-01,25,16,1.0,2PT Field Goal,Left Side(L),16-24 ft.,SAS,110
Jump Shot,-58,76,5,4,0,2000-01,14,9,0.0,2PT Field Goal,Left Side(L),8-16 ft.,SAS,111
Jump Shot,-37,70,3,4,0,2000-01,38,7,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAS,112
Jump Shot,-94,188,11,1,0,2000-01,9,21,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,HOU,114
Layup,0,0,10,1,0,2000-01,17,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,115
Layup,0,0,9,1,0,2000-01,23,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,116
Tip Shot,0,0,9,1,0,2000-01,21,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,117
Dunk,0,0,3,1,0,2000-01,2,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,118
Layup,0,0,0,1,0,2000-01,44,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,119
Jump Shot,85,141,0,1,0,2000-01,21,16,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,HOU,120
Jump Shot,-88,158,8,2,0,2000-01,50,18,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,HOU,121
Dunk,0,0,8,2,0,2000-01,18,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,122
Hook Shot,0,0,0,2,0,2000-01,30,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,124
Jump Shot,1,276,0,2,0,2000-01,4,27,1.0,3PT Field Goal,Center(C),24+ ft.,HOU,125
Jump Shot,155,-8,8,3,0,2000-01,38,15,1.0,2PT Field Goal,Right Side(R),8-16 ft.,HOU,127
Jump Shot,-155,13,5,3,0,2000-01,18,15,1.0,2PT Field Goal,Left Side(L),8-16 ft.,HOU,128
Jump Shot,-84,133,4,3,0,2000-01,34,15,,2PT Field Goal,Left Side(L),8-16 ft.,HOU,129
Jump Shot,-178,-8,3,3,0,2000-01,51,17,,2PT Field Goal,Left Side(L),16-24 ft.,HOU,130
Jump Shot,16,89,3,3,0,2000-01,40,9,0.0,2PT Field Goal,Center(C),8-16 ft.,HOU,131
Jump Shot,-48,106,3,3,0,2000-01,33,11,1.0,2PT Field Goal,Center(C),8-16 ft.,HOU,132
Jump Shot,-170,13,2,3,0,2000-01,5,17,0.0,2PT Field Goal,Left Side(L),16-24 ft.,HOU,134
Jump Shot,-119,133,0,3,0,2000-01,14,17,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,HOU,135
Jump Shot,9,40,10,4,0,2000-01,52,4,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,136
Jump Shot,-84,82,6,4,0,2000-01,34,11,,2PT Field Goal,Left Side(L),8-16 ft.,HOU,137
Jump Shot,9,59,4,4,0,2000-01,57,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,138
Dunk,0,0,3,4,0,2000-01,28,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,139
Jump Shot,9,59,1,4,0,2000-01,38,5,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,140
Tip Shot,0,0,1,4,0,2000-01,3,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,142
Layup,0,0,7,1,0,2000-01,43,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,143
Dunk,0,0,3,1,0,2000-01,8,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,145
Jump Shot,129,-4,2,1,0,2000-01,25,12,1.0,2PT Field Goal,Right Side(R),8-16 ft.,DEN,146
Jump Shot,-98,97,0,1,0,2000-01,48,13,1.0,2PT Field Goal,Left Side(L),8-16 ft.,DEN,147
Jump Shot,167,78,11,2,0,2000-01,16,18,,2PT Field Goal,Right Side(R),16-24 ft.,DEN,148
Jump Shot,108,249,10,2,0,2000-01,19,27,0.0,3PT Field Goal,Right Side Center(RC),24+ ft.,DEN,149
Jump Shot,100,175,9,2,0,2000-01,7,20,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,DEN,151
Layup,0,0,1,2,0,2000-01,54,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,154
Layup,0,0,0,2,0,2000-01,28,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,155
Jump Shot,115,169,10,3,0,2000-01,23,20,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,DEN,157
Jump Shot,1,72,5,3,0,2000-01,23,7,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,158
Dunk,0,0,0,3,0,2000-01,37,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,160
Jump Shot,113,230,11,4,0,2000-01,43,25,1.0,3PT Field Goal,Right Side Center(RC),24+ ft.,DEN,161
Layup,0,0,10,4,0,2000-01,28,0,,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,162
Dunk,0,0,10,4,0,2000-01,11,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,163
Layup,0,0,5,4,0,2000-01,37,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,164
Jump Shot,98,194,11,1,0,2000-01,42,21,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAC,166
Jump Shot,-117,184,11,1,0,2000-01,7,21,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,SAC,167
Jump Shot,-168,-2,8,1,0,2000-01,53,16,,2PT Field Goal,Left Side(L),16-24 ft.,SAC,168
Jump Shot,70,36,8,1,0,2000-01,16,7,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,169
Layup,0,0,7,1,0,2000-01,43,0,,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,170
Jump Shot,-37,42,2,1,0,2000-01,47,5,,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,171
Jump Shot,163,116,1,1,0,2000-01,5,20,0.0,2PT Field Goal,Right Side(R),16-24 ft.,SAC,173
Jump Shot,113,179,8,2,0,2000-01,13,21,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAC,174
Jump Shot,169,-2,6,2,0,2000-01,27,16,1.0,2PT Field Goal,Right Side(R),16-24 ft.,SAC,175
Jump Shot,91,156,0,2,0,2000-01,52,18,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAC,176
Jump Shot,134,93,0,2,0,2000-01,19,16,,2PT Field Goal,Right Side(R),16-24 ft.,SAC,177
Jump Shot,47,477,0,2,0,2000-01,0,47,0.0,3PT Field Goal,Back Court(BC),Back Court Shot,SAC,178
Jump Shot,11,137,8,3,0,2000-01,52,13,0.0,2PT Field Goal,Center(C),8-16 ft.,SAC,179
Jump Shot,199,13,2,3,0,2000-01,55,19,0.0,2PT Field Goal,Right Side(R),16-24 ft.,SAC,180
Jump Shot,77,236,0,3,0,2000-01,1,24,0.0,3PT Field Goal,Right Side Center(RC),24+ ft.,SAC,181
Jump Shot,11,247,9,4,0,2000-01,18,24,0.0,3PT Field Goal,Center(C),24+ ft.,SAC,183
Jump Shot,-103,230,5,4,0,2000-01,43,25,0.0,3PT Field Goal,Left Side Center(LC),24+ ft.,SAC,184
Jump Shot,-31,247,0,4,0,2000-01,2,24,,3PT Field Goal,Center(C),24+ ft.,SAC,185
Jump Shot,-10,99,2,5,0,2000-01,5,9,,2PT Field Goal,Center(C),8-16 ft.,SAC,186
Jump Shot,13,100,2,5,0,2000-01,7,10,0.0,2PT Field Goal,Center(C),8-16 ft.,SAC,187
Jump Shot,-73,200,0,5,0,2000-01,24,21,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,SAC,188
Jump Shot,-77,184,10,1,0,2000-01,5,19,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,DEN,189
Jump Shot,188,177,9,1,0,2000-01,7,25,0.0,3PT Field Goal,Right Side Center(RC),24+ ft.,DEN,190
Layup,0,0,8,1,0,2000-01,15,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,191
Jump Shot,-128,137,4,1,0,2000-01,22,18,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,DEN,194
Dunk,0,0,4,1,0,2000-01,9,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,195
Jump Shot,1,93,11,2,0,2000-01,19,9,0.0,2PT Field Goal,Center(C),8-16 ft.,DEN,197
Jump Shot,115,160,6,2,0,2000-01,51,19,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,DEN,198
Jump Shot,159,200,6,2,0,2000-01,11,25,1.0,3PT Field Goal,Right Side Center(RC),24+ ft.,DEN,199
Jump Shot,167,0,0,2,0,2000-01,21,16,,2PT Field Goal,Right Side(R),16-24 ft.,DEN,200
Jump Shot,-162,245,11,3,0,2000-01,17,29,0.0,3PT Field Goal,Left Side Center(LC),24+ ft.,DEN,201
Jump Shot,167,-6,8,3,0,2000-01,35,16,0.0,2PT Field Goal,Right Side(R),16-24 ft.,DEN,203
Jump Shot,-4,150,6,3,0,2000-01,24,15,1.0,2PT Field Goal,Center(C),8-16 ft.,DEN,204
Jump Shot,-185,9,5,3,0,2000-01,1,18,1.0,2PT Field Goal,Left Side(L),16-24 ft.,DEN,205
Jump Shot,237,19,3,3,0,2000-01,21,23,1.0,3PT Field Goal,Right Side(R),24+ ft.,DEN,206
Jump Shot,-229,19,0,3,0,2000-01,47,22,1.0,3PT Field Goal,Left Side(L),24+ ft.,DEN,207
Layup,0,0,11,4,0,2000-01,10,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,208
Dunk,0,0,7,4,0,2000-01,10,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,209
Jump Shot,37,82,1,4,0,2000-01,18,8,1.0,2PT Field Goal,Center(C),8-16 ft.,DEN,212
Jump Shot,-42,87,0,4,0,2000-01,46,9,0.0,2PT Field Goal,Center(C),8-16 ft.,DEN,213
Jump Shot,28,247,9,1,0,2000-01,3,24,,3PT Field Goal,Center(C),24+ ft.,CHI,214
Jump Shot,7,97,6,1,0,2000-01,10,9,0.0,2PT Field Goal,Center(C),8-16 ft.,CHI,215
Dunk,0,0,3,1,0,2000-01,10,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHI,216
Layup,0,0,0,1,0,2000-01,13,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHI,217
Dunk,0,0,7,2,0,2000-01,24,0,,2PT Field Goal,Center(C),Less Than 8 ft.,CHI,218
Jump Shot,115,135,6,2,0,2000-01,3,17,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,CHI,219
Jump Shot,142,184,0,2,0,2000-01,44,23,,2PT Field Goal,Right Side Center(RC),16-24 ft.,CHI,220
Dunk,0,0,11,3,0,2000-01,24,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHI,221
Layup,0,0,10,3,0,2000-01,19,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHI,222
Jump Shot,79,163,9,3,0,2000-01,45,18,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,CHI,223
Jump Shot,142,141,7,3,0,2000-01,22,20,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,CHI,224
Jump Shot,30,125,6,3,0,2000-01,43,12,0.0,2PT Field Goal,Center(C),8-16 ft.,CHI,225
Jump Shot,-60,97,4,3,0,2000-01,55,11,1.0,2PT Field Goal,Left Side(L),8-16 ft.,CHI,226
Layup,0,0,1,3,0,2000-01,34,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHI,227
Jump Shot,115,245,11,4,0,2000-01,13,27,0.0,3PT Field Goal,Right Side Center(RC),24+ ft.,CHI,229
Jump Shot,-132,184,10,4,0,2000-01,52,22,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,CHI,230
Layup,0,0,10,4,0,2000-01,12,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHI,231
Layup,0,0,10,4,0,2000-01,8,0,,2PT Field Goal,Center(C),Less Than 8 ft.,CHI,232
Jump Shot,-25,76,2,4,0,2000-01,20,8,1.0,2PT Field Goal,Center(C),8-16 ft.,CHI,233
Jump Shot,-145,108,1,4,0,2000-01,37,18,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,CHI,234
Jump Shot,-208,-29,0,4,0,2000-01,31,21,0.0,2PT Field Goal,Left Side(L),16-24 ft.,CHI,235
Jump Shot,-105,148,10,1,0,2000-01,5,18,,2PT Field Goal,Left Side Center(LC),16-24 ft.,GSW,236
Jump Shot,-48,175,8,1,0,2000-01,0,18,0.0,2PT Field Goal,Center(C),16-24 ft.,GSW,237
Jump Shot,-77,247,4,1,0,2000-01,58,25,0.0,3PT Field Goal,Center(C),24+ ft.,GSW,238
Layup,0,0,2,1,0,2000-01,36,0,,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,239
Layup,0,0,2,1,0,2000-01,20,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,240
Dunk,0,0,2,1,0,2000-01,8,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,241
Jump Shot,142,226,1,1,0,2000-01,43,26,1.0,3PT Field Goal,Right Side Center(RC),24+ ft.,GSW,242
Dunk,0,0,10,2,0,2000-01,17,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,243
Jump Shot,-63,171,9,2,0,2000-01,16,18,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,GSW,244
Dunk,0,0,3,2,0,2000-01,34,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,245
Jump Shot,64,175,2,2,0,2000-01,30,18,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,GSW,246
Dunk,0,0,9,3,0,2000-01,52,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,247
Layup,0,0,9,3,0,2000-01,12,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,248
Jump Shot,115,236,6,3,0,2000-01,31,26,,3PT Field Goal,Right Side Center(RC),24+ ft.,GSW,249
Dunk,0,0,6,3,0,2000-01,9,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,250
Jump Shot,163,7,5,3,0,2000-01,20,16,0.0,2PT Field Goal,Right Side(R),16-24 ft.,GSW,251
Layup,0,0,2,3,0,2000-01,6,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,252
Layup,0,0,2,3,0,2000-01,0,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,253
Layup,0,0,1,3,0,2000-01,26,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,254
Jump Shot,64,40,10,1,0,2000-01,33,7,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,255
Jump Shot,-105,-2,7,1,0,2000-01,33,10,1.0,2PT Field Goal,Left Side(L),8-16 ft.,MIN,256
Layup,0,0,5,1,0,2000-01,52,0,,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,258
Jump Shot,64,95,3,1,0,2000-01,56,11,1.0,2PT Field Goal,Right Side(R),8-16 ft.,MIN,259
Jump Shot,-132,2,1,1,0,2000-01,4,13,,2PT Field Goal,Left Side(L),8-16 ft.,MIN,261
Jump Shot,73,17,10,3,0,2000-01,53,7,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,262
Dunk,0,0,9,3,0,2000-01,45,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,263
Jump Shot,-132,154,6,3,0,2000-01,24,20,,2PT Field Goal,Left Side Center(LC),16-24 ft.,MIN,265
Layup,0,0,5,3,0,2000-01,58,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,266
Jump Shot,235,23,2,3,0,2000-01,42,23,,3PT Field Goal,Right Side(R),24+ ft.,MIN,268
Jump Shot,28,175,0,3,0,2000-01,21,17,1.0,2PT Field Goal,Center(C),16-24 ft.,MIN,269
Jump Shot,184,171,11,4,0,2000-01,38,25,,3PT Field Goal,Right Side Center(RC),24+ ft.,MIN,270
Jump Shot,127,61,9,4,0,2000-01,50,14,0.0,2PT Field Goal,Right Side(R),8-16 ft.,MIN,271
Jump Shot,28,89,9,4,0,2000-01,36,9,,2PT Field Goal,Center(C),8-16 ft.,MIN,272
Jump Shot,-84,213,7,4,0,2000-01,30,22,,2PT Field Goal,Left Side Center(LC),16-24 ft.,MIN,273
Jump Shot,-119,144,5,4,0,2000-01,24,18,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,MIN,274
Jump Shot,0,110,10,1,0,2000-01,25,11,0.0,2PT Field Goal,Center(C),8-16 ft.,LAC,275
Layup,0,0,7,1,0,2000-01,14,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,LAC,276
Jump Shot,127,80,6,1,0,2000-01,17,15,0.0,2PT Field Goal,Right Side(R),8-16 ft.,LAC,277
Jump Shot,-143,219,5,1,0,2000-01,44,26,1.0,3PT Field Goal,Left Side Center(LC),24+ ft.,LAC,278
